"filename", "language", "C#", "MS SQL", "JSON", "Python", "XML", "JSON with Comments", "TypeScript", "TypeScript JSX", "PostCSS", "Markdown", "JavaScript", "comment", "blank", "total"
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Dtos\Read\Aggregates\ContactRequest.cs", "C#", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Dtos\Read\Aggregates\Judgement.cs", "C#", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 46
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Dtos\Read\Aggregates\Matching.cs", "C#", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 50
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Dtos\Read\Aggregates\Message.cs", "C#", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 52
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Dtos\Read\Aggregates\Notification.cs", "C#", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 53
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Dtos\Read\Aggregates\SearchProfile.cs", "C#", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 54
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Dtos\Read\Aggregates\Transaction.cs", "C#", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 37
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Dtos\Read\Aggregates\User.cs", "C#", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 70
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Dtos\Read\DtoProperty.cs", "C#", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Dtos\Read\Entities\ConversationDto.cs", "C#", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 55
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Dtos\Read\Entities\ImageDto.cs", "C#", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 36
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Dtos\Read\ReadDto.cs", "C#", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Dtos\Read\ValueObjects\CurrencyDto.cs", "C#", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Dtos\Read\ValueObjects\Distance.cs", "C#", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Dtos\Read\ValueObjects\FileDetailsDto.cs", "C#", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Dtos\Read\ValueObjects\LocationDto.cs", "C#", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Dtos\Read\ValueObjects\MoneyDto.cs", "C#", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Dtos\Read\Variants\Aggregates\JudgementVariant.cs", "C#", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 36
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Dtos\Read\Variants\Aggregates\MatchingVariant.cs", "C#", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 105
