"filename", "language", "MS SQL", "JSON", "Python", "C#", "XML", "TypeScript", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Infrastructure\Migrations\20260609222237_InitialCreate.cs", "C#", 0, 0, 0, -507, 0, 0, 0, 0, -3, -56, -566
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Infrastructure\Migrations\20260610225115_GenderFix.Designer.cs", "C#", 0, 0, 0, -604, 0, 0, 0, 0, -2, -206, -812
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Infrastructure\Migrations\20260610225115_GenderFix.cs", "C#", 0, 0, 0, -28, 0, 0, 0, 0, -3, -4, -35
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Infrastructure\Migrations\20260610235923_MatchingUserNavigationProperties.Designer.cs", "C#", 0, 0, 0, -611, 0, 0, 0, 0, -2, -209, -822
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Infrastructure\Migrations\20260610235923_MatchingUserNavigationProperties.cs", "C#", 0, 0, 0, -14, 0, 0, 0, 0, -3, -6, -23
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Infrastructure\Migrations\20260611095955_RenameFileDetailsUrlToName.Designer.cs", "C#", 0, 0, 0, -611, 0, 0, 0, 0, -2, -209, -822
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Infrastructure\Migrations\20260611095955_RenameFileDetailsUrlToName.cs", "C#", 0, 0, 0, -22, 0, 0, 0, 0, -3, -4, -29
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Infrastructure\Migrations\20260611100118_SnapshotIsolation.Designer.cs", "C#", 0, 0, 0, -611, 0, 0, 0, 0, -2, -209, -822
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Infrastructure\Migrations\20260611100118_SnapshotIsolation.cs", "C#", 0, 0, 0, -30, 0, 0, 0, 0, -3, -7, -40
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Infrastructure\Migrations\20260611105836_PrivateConstructors.Designer.cs", "C#", 0, 0, 0, -611, 0, 0, 0, 0, -2, -209, -822
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Infrastructure\Migrations\20260611105836_PrivateConstructors.cs", "C#", 0, 0, 0, -14, 0, 0, 0, 0, -3, -6, -23
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Infrastructure\Migrations\20260611105943_MatchingCreatedAt.Designer.cs", "C#", 0, 0, 0, -613, 0, 0, 0, 0, -2, -210, -825
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Infrastructure\Migrations\20260611105943_MatchingCreatedAt.cs", "C#", 0, 0, 0, -24, 0, 0, 0, 0, -3, -4, -31
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Infrastructure\Migrations\20260611110701_CreatedAtPrivateSettor.Designer.cs", "C#", 0, 0, 0, -619, 0, 0, 0, 0, -2, -213, -834
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Infrastructure\Migrations\20260611110701_CreatedAtPrivateSettor.cs", "C#", 0, 0, 0, -42, 0, 0, 0, 0, -3, -8, -53
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Infrastructure\Migrations\20260611114349_Message.Designer.cs", "C#", 0, 0, 0, -676, 0, 0, 0, 0, -2, -234, -912
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Infrastructure\Migrations\20260611114349_Message.cs", "C#", 0, 0, 0, -82, 0, 0, 0, 0, -3, -11, -96
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Infrastructure\Migrations\20260612142730_ConversationMessagesNavigation.Designer.cs", "C#", 0, 0, 0, -680, 0, 0, 0, 0, -2, -235, -917
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Infrastructure\Migrations\20260612142730_ConversationMessagesNavigation.cs", "C#", 0, 0, 0, -14, 0, 0, 0, 0, -3, -6, -23
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Infrastructure\Migrations\20260615105845_Navigations.Designer.cs", "C#", 0, 0, 0, -723, 0, 0, 0, 0, -2, -252, -977
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Infrastructure\Migrations\20260615105845_Navigations.cs", "C#", 0, 0, 0, -168, 0, 0, 0, 0, -3, -34, -205
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Infrastructure\Migrations\20260615155701_BlockingsAndMessages.Designer.cs", "C#", 0, 0, 0, -723, 0, 0, 0, 0, -2, -252, -977
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Infrastructure\Migrations\20260615155701_BlockingsAndMessages.cs", "C#", 0, 0, 0, -88, 0, 0, 0, 0, -3, -20, -111
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Infrastructure\Migrations\20260616024241_JudgementNavigations.Designer.cs", "C#", 0, 0, 0, -725, 0, 0, 0, 0, -2, -254, -981
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Infrastructure\Migrations\20260616024241_JudgementNavigations.cs", "C#", 0, 0, 0, -14, 0, 0, 0, 0, -3, -6, -23
