"filename", "language", "JSON", "JSON with Comments", "YAML", "TypeScript", "MS SQL", "Python", "Markdown", "JavaScript", "TypeScript JSX", "C#", "XML", "PostCSS", "Skill", "comment", "blank", "total"
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\FactStores\Users\Facts\SameUserFact.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 3
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\FactStores\Users\UserAuthorizationFactStore.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 19, 99
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\JudgementAuthorizationService.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 21, 11, 97
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\MatchingAuthorizationService.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 0, 0, 0, 41, 10, 124
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\MessageAuthorizationService.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 81, 0, 0, 0, 18, 9, 108
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\SearchProfileAuthorizationService.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 81, 0, 0, 0, 0, 16, 97
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\UserAuthorizationService.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 108, 0, 0, 0, 21, 19, 148
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\Auth\Handlers\RefreshHandler.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 4, 35
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\Auth\Handlers\SignInHandler.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 3, 25
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\Auth\Handlers\SignOutHandler.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 4, 36
