"filename", "language", "JSON with Comments", "YAML", "MS SQL", "TypeScript", "JSON", "TypeScript JSX", "C#", "XML", "PostCSS", "Markdown", "Skill", "comment", "blank", "total"
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Functions\host.json", "JSON", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Infrastructure\ApiConfiguration.cs", "C#", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Infrastructure\Azure\AzureAIContentSafetyService.cs", "C#", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 5, 34
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Infrastructure\Azure\BlobStorageFileService.cs", "C#", 0, 0, 0, 0, 0, 0, 75, 0, 0, 0, 0, 0, 11, 86
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Infrastructure\Azure\ServiceBusWorkItemService.cs", "C#", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Infrastructure\Ef\Configurations\UserConfiguration.cs", "C#", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Infrastructure\Ef\Contexts\C2CContext.cs", "C#", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 2, 8
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Infrastructure\Embe.C2C.Infrastructure.csproj", "XML", 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Infrastructure\Extensions\ServiceCollectionExtensions.cs", "C#", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 1, 21
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Infrastructure\Migrations\20260712110904_RequireGenderAndLocation.Designer.cs", "C#", 0, 0, 0, 0, 0, 0, 900, 0, 0, 0, 0, 2, 328, 1230
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Infrastructure\Migrations\20260712110904_RequireGenderAndLocation.cs", "C#", 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 3, 6, 55
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Infrastructure\Migrations\20260712112405_AspNetUserDomainUserCascadeDelete.Designer.cs", "C#", 0, 0, 0, 0, 0, 0, 900, 0, 0, 0, 0, 2, 328, 1230
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Infrastructure\Migrations\20260712112405_AspNetUserDomainUserCascadeDelete.cs", "C#", 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 3, 6, 42
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Infrastructure\Migrations\20260713072714_MakeGenderAndLocationOptional.Designer.cs", "C#", 0, 0, 0, 0, 0, 0, 899, 0, 0, 0, 0, 2, 328, 1229
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Infrastructure\Migrations\20260713072714_MakeGenderAndLocationOptional.cs", "C#", 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 3, 6, 55
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Infrastructure\Migrations\20260714125326_ImageStatus.Designer.cs", "C#", 0, 0, 0, 0, 0, 0, 901, 0, 0, 0, 0, 2, 329, 1232
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Infrastructure\Migrations\20260714125326_ImageStatus.cs", "C#", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 3, 4, 30
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Infrastructure\Migrations\20260714142326_ImageNameUniqueIndex.Designer.cs", "C#", 0, 0, 0, 0, 0, 0, 903, 0, 0, 0, 0, 2, 330, 1235
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Infrastructure\Migrations\20260714142326_ImageNameUniqueIndex.cs", "C#", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 3, 4, 29
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Infrastructure\Migrations\C2CContextModelSnapshot.cs", "C#", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 2, 6
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Infrastructure\SignalR\SignalRNotificationService.cs", "C#", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 2, 20
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Infrastructure\SignalR\SignalRServiceHubContextPool.cs", "C#", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 4, 23
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.slnx", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Miro\source\repos\Embe.C2C\src\embe.c2c.frontend\next.config.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15
"c:\Users\Miro\source\repos\Embe.C2C\src\embe.c2c.frontend\package-lock.json", "JSON", 0, 0, 0, 0, 1336, 0, 0, 0, 0, 0, 0, 0, 0, 1336
"c:\Users\Miro\source\repos\Embe.C2C\src\embe.c2c.frontend\package.json", "JSON", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Users\Miro\source\repos\Embe.C2C\src\embe.c2c.frontend\src\app\(pages)\protected\matches\[matchId]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, -1
"c:\Users\Miro\source\repos\Embe.C2C\src\embe.c2c.frontend\src\app\(pages)\protected\search-profile\[searchProfileId]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, -1
"c:\Users\Miro\source\repos\Embe.C2C\src\embe.c2c.frontend\src\app\(pages)\protected\search-profile\new\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\Miro\source\repos\Embe.C2C\src\embe.c2c.frontend\src\app\(pages)\protected\search-profile\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Miro\source\repos\Embe.C2C\src\embe.c2c.frontend\src\app\(pages)\protected\search\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\Miro\source\repos\Embe.C2C\src\embe.c2c.frontend\src\app\globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 5, 47
"c:\Users\Miro\source\repos\Embe.C2C\src\embe.c2c.frontend\src\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, -1, 0
"c:\Users\Miro\source\repos\Embe.C2C\src\embe.c2c.frontend\src\features\auth\actions\account-exists\actions.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Miro\source\repos\Embe.C2C\src\embe.c2c.frontend\src\features\auth\actions\action.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Miro\source\repos\Embe.C2C\src\embe.c2c.frontend\src\features\auth\actions\register\types.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
